,Opening Price (USD),Highest Price (USD),Lowest Price (USD),Closing Price (USD),5. volume,6. market cap (USD),Difference between opening and closing
2022-06-20,0.33,0.33,0.31,0.32,356161086.0,356161086.0,-0.010000000000000009
2022-06-21,0.32,0.34,0.32,0.33,379691157.0,379691157.0,0.010000000000000009
2022-06-22,0.33,0.33,0.32,0.32,315095128.0,315095128.0,-0.010000000000000009
2022-06-23,0.32,0.34,0.32,0.34,293426615.0,293426615.0,0.020000000000000018
2022-06-24,0.34,0.39,0.33,0.37,610286919.0,610286919.0,0.02999999999999997
2022-06-25,0.37,0.37,0.35,0.37,216676025.0,216676025.0,0.0
2022-06-26,0.37,0.38,0.36,0.36,194186812.0,194186812.0,-0.010000000000000009
2022-06-27,0.36,0.37,0.35,0.35,274516503.0,274516503.0,-0.010000000000000009
2022-06-28,0.35,0.36,0.34,0.34,316153206.0,316153206.0,-0.009999999999999953
2022-06-29,0.34,0.34,0.32,0.33,329827694.0,329827694.0,-0.010000000000000009
2022-06-30,0.33,0.33,0.31,0.33,463148646.0,463148646.0,0.0
2022-07-01,0.33,0.34,0.31,0.31,373042743.0,373042743.0,-0.020000000000000018
2022-07-02,0.31,0.32,0.31,0.32,179482724.0,179482724.0,0.010000000000000009
2022-07-03,0.32,0.33,0.31,0.32,194701668.0,194701668.0,0.0
2022-07-04,0.32,0.33,0.31,0.33,276890244.0,276890244.0,0.010000000000000009
2022-07-05,0.33,0.33,0.31,0.33,332749123.0,332749123.0,0.0
2022-07-06,0.33,0.33,0.32,0.33,295359140.0,295359140.0,0.0
2022-07-07,0.33,0.35,0.33,0.34,261063763.0,261063763.0,0.010000000000000009
2022-07-08,0.34,0.36,0.34,0.34,383269941.0,383269941.0,0.0
2022-07-09,0.34,0.35,0.34,0.34,131799232.0,131799232.0,0.0
2022-07-10,0.34,0.34,0.32,0.33,240237163.0,240237163.0,-0.010000000000000009
2022-07-11,0.33,0.33,0.31,0.32,246538517.0,246538517.0,-0.010000000000000009
2022-07-12,0.32,0.32,0.31,0.31,234067778.0,234067778.0,-0.010000000000000009
2022-07-13,0.31,0.33,0.3,0.32,354463864.0,354463864.0,0.010000000000000009
2022-07-14,0.32,0.33,0.31,0.33,323459383.0,323459383.0,0.010000000000000009
2022-07-15,0.33,0.35,0.33,0.33,392883643.0,392883643.0,0.0
2022-07-16,0.33,0.36,0.33,0.35,271487176.0,271487176.0,0.019999999999999962
