,Opening Price (USD),Highest Price (USD),Lowest Price (USD),Closing Price (USD),5. volume,6. market cap (USD),Difference between opening and closing
2023-06-03,1906.69,1907.92,1881.6,1892.06,148818.24,148818.24,-14.63000000000011
2023-06-04,1892.05,1914.63,1884.22,1890.01,172683.01,172683.01,-2.0399999999999636
2023-06-05,1890.0,1890.63,1778.0,1810.5,555361.27,555361.27,-79.5
2023-06-06,1810.49,1898.29,1797.18,1884.64,491407.22,491407.22,74.15000000000009
2023-06-07,1884.65,1897.8,1821.18,1832.13,429196.71,429196.71,-52.51999999999998
2023-06-08,1832.12,1861.28,1828.31,1845.64,189270.49,189270.49,13.52000000000021
2023-06-09,1845.65,1855.0,1827.0,1840.37,198324.33,198324.33,-5.2800000000002
2023-06-10,1840.37,1844.99,1715.03,1751.53,652324.67,652324.67,-88.83999999999992
2023-06-11,1751.52,1778.25,1738.72,1752.76,219956.24,219956.24,1.240000000000009
2023-06-12,1752.77,1759.33,1720.0,1742.57,302132.48,302132.48,-10.200000000000045
2023-06-13,1742.57,1770.13,1724.22,1740.12,284268.0,284268.0,-2.4500000000000455
2023-06-14,1740.12,1750.03,1630.43,1650.95,415847.33,415847.33,-89.16999999999985
2023-06-15,1650.95,1680.91,1626.01,1666.96,370774.77,370774.77,16.00999999999999
2023-06-16,1666.96,1729.5,1649.86,1717.92,311734.59,311734.59,50.960000000000036
2023-06-17,1717.91,1770.0,1714.26,1727.76,210914.92,210914.92,9.849999999999909
2023-06-18,1727.75,1747.84,1712.0,1720.95,156535.01,156535.01,-6.7999999999999545
2023-06-19,1720.95,1752.19,1698.0,1737.11,245162.76,245162.76,16.159999999999854
2023-06-20,1737.1,1796.99,1714.72,1791.99,328855.68,328855.68,54.8900000000001
2023-06-21,1791.99,1901.0,1787.38,1889.11,613755.89,613755.89,97.11999999999989
2023-06-22,1889.1,1933.17,1865.98,1872.01,416714.57,416714.57,-17.089999999999918
2023-06-23,1872.0,1936.42,1861.01,1892.63,401147.93,401147.93,20.63000000000011
2023-06-24,1892.63,1906.0,1864.77,1874.96,226910.29,226910.29,-17.670000000000073
2023-06-25,1874.95,1930.0,1868.83,1898.8,338757.62,338757.62,23.84999999999991
2023-06-26,1898.8,1909.1,1837.18,1858.97,458743.86,458743.86,-39.82999999999993
2023-06-27,1858.97,1912.53,1855.19,1889.58,366634.57,366634.57,30.6099999999999
2023-06-28,1889.58,1890.19,1816.56,1828.02,337836.58,337836.58,-61.559999999999945
2023-06-29,1828.03,1880.0,1827.84,1851.99,241844.83,241844.83,23.960000000000036
2023-06-30,1851.99,1948.6,1825.01,1933.79,716538.1,716538.1,81.79999999999995
2023-07-01,1933.8,1944.56,1909.44,1924.5,178373.37,178373.37,-9.299999999999955
2023-07-02,1924.5,1959.2,1885.75,1937.48,255852.78,255852.78,12.980000000000018
2023-07-03,1937.49,1976.16,1933.55,1955.54,322102.43,322102.43,18.049999999999955
2023-07-04,1955.55,1967.08,1931.58,1936.2,205525.1,205525.1,-19.34999999999991
2023-07-05,1936.19,1942.5,1894.51,1910.36,267633.48,267633.48,-25.830000000000155
2023-07-06,1910.35,1958.0,1846.0,1846.17,456362.74,456362.74,-64.17999999999984
2023-07-07,1846.17,1878.0,1826.0,1870.91,232944.35,232944.35,24.74000000000001
2023-07-08,1870.92,1876.0,1842.8,1865.24,125819.83,125819.83,-5.680000000000064
2023-07-09,1865.24,1879.36,1856.15,1862.8,135046.37,135046.37,-2.4400000000000546
2023-07-10,1862.81,1905.5,1846.63,1880.4,247868.15,247868.15,17.590000000000146
2023-07-11,1880.41,1891.99,1862.38,1878.3,177771.61,177771.61,-2.1100000000001273
2023-07-12,1878.31,1902.0,1864.37,1871.82,264406.87,264406.87,-6.490000000000009
2023-07-13,1871.82,2012.63,1862.59,2004.49,548861.42,548861.42,132.67000000000007
2023-07-14,2004.49,2029.11,1898.39,1937.83,498724.04,498724.04,-66.66000000000008
2023-07-15,1937.82,1946.37,1926.23,1931.41,135181.77,135181.77,-6.4099999999998545
2023-07-16,1931.41,1943.55,1914.0,1922.11,148667.11,148667.11,-9.300000000000182
2023-07-17,1922.12,1936.18,1873.26,1911.2,277159.03,277159.03,-10.919999999999845
2023-07-18,1911.21,1917.19,1875.73,1897.21,215780.5,215780.5,-14.0
2023-07-19,1897.21,1922.04,1882.17,1888.63,218045.0,218045.0,-8.579999999999927
2023-07-20,1888.64,1929.05,1878.0,1891.59,292907.52,292907.52,2.949999999999818
2023-07-21,1891.59,1905.74,1884.64,1891.73,165554.04,165554.04,0.14000000000010004
2023-07-22,1891.73,1897.35,1851.18,1866.52,131901.65,131901.65,-25.210000000000036
2023-07-23,1866.52,1905.25,1857.82,1888.73,153501.02,153501.02,22.210000000000036
2023-07-24,1888.74,1890.86,1833.19,1850.0,276504.55,276504.55,-38.74000000000001
2023-07-25,1850.0,1868.71,1845.45,1857.66,152251.21,152251.21,7.660000000000082
2023-07-26,1857.66,1888.0,1848.35,1872.0,272090.53,272090.53,14.339999999999918
2023-07-27,1871.99,1886.11,1854.84,1861.28,163766.43,163766.43,-10.710000000000036
2023-07-28,1861.29,1883.39,1856.52,1874.19,138695.71,138695.71,12.900000000000091
2023-07-29,1874.2,1886.58,1869.54,1880.46,72867.03,72867.03,6.259999999999991
2023-07-30,1880.45,1885.3,1848.17,1861.79,158657.59,158657.59,-18.660000000000082
2023-07-31,1861.79,1877.4,1851.02,1856.14,168204.45,168204.45,-5.649999999999864
2023-08-01,1856.13,1875.62,1813.8,1873.47,358476.1,358476.1,17.339999999999918
2023-08-02,1873.48,1879.74,1821.21,1839.9,254213.06,254213.06,-33.57999999999993
2023-08-03,1839.9,1859.12,1826.0,1835.81,171148.05,171148.05,-4.0900000000001455
2023-08-04,1835.81,1851.31,1815.74,1830.23,187699.46,187699.46,-5.579999999999927
2023-08-05,1830.24,1839.0,1827.5,1836.48,93657.33,93657.33,6.240000000000009
2023-08-06,1836.48,1838.58,1825.86,1830.28,90403.99,90403.99,-6.2000000000000455
2023-08-07,1830.28,1847.0,1802.0,1829.1,224092.91,224092.91,-1.1800000000000637
2023-08-08,1829.1,1876.51,1826.33,1856.3,236336.03,236336.03,27.200000000000045
2023-08-09,1856.3,1871.99,1846.28,1855.35,191926.83,191926.83,-0.9500000000000455
2023-08-10,1855.36,1865.95,1845.38,1852.47,127321.46,127321.46,-2.8899999999998727
2023-08-11,1852.47,1857.26,1838.05,1848.84,113209.31,113209.31,-3.630000000000109
2023-08-12,1848.84,1854.01,1846.08,1849.93,63292.65,63292.65,1.0900000000001455
2023-08-13,1849.94,1862.0,1834.51,1840.73,120674.14,120674.14,-9.210000000000036
2023-08-14,1840.73,1856.5,1835.0,1845.5,150196.12,150196.12,4.769999999999982
2023-08-15,1845.5,1847.36,1814.0,1828.98,186081.7,186081.7,-16.519999999999982
2023-08-16,1828.98,1831.52,1798.17,1807.81,205430.74,205430.74,-21.170000000000073
2023-08-17,1807.81,1809.99,1550.0,1681.49,812138.22,812138.22,-126.31999999999994
2023-08-18,1681.49,1699.4,1641.02,1661.59,538083.1,538083.1,-19.90000000000009
2023-08-19,1661.6,1696.72,1654.31,1669.67,231919.05,231919.05,8.070000000000164
2023-08-20,1669.68,1694.75,1662.03,1685.24,195623.53,195623.53,15.559999999999945
2023-08-21,1685.23,1688.59,1649.4,1667.55,250835.15,250835.15,-17.680000000000064
