,Opening Price (USD),Highest Price (USD),Lowest Price (USD),Closing Price (USD),5. volume,6. market cap (USD),Difference between opening and closing
2021-11-17,21.69,21.95,21.04,21.88,1684296.15,1684296.15,0.18999999999999773
2021-11-18,21.86,22.25,19.57,20.09,2178936.56,2178936.56,-1.7699999999999996
2021-11-19,20.09,21.31,19.77,21.2,1248029.43,1248029.43,1.1099999999999994
2021-11-20,21.2,22.03,20.92,22.02,1230995.19,1230995.19,0.8200000000000003
2021-11-21,22.03,22.17,21.38,21.62,896799.46,896799.46,-0.41000000000000014
2021-11-22,21.62,22.31,20.72,20.95,1865975.43,1865975.43,-0.6700000000000017
2021-11-23,20.96,22.34,20.76,22.2,1361092.98,1361092.98,1.2399999999999984
2021-11-24,22.21,22.31,20.53,20.8,1368958.45,1368958.45,-1.4100000000000001
2021-11-25,20.8,21.65,20.57,21.39,1388461.25,1388461.25,0.5899999999999999
2021-11-26,21.4,21.45,18.71,19.27,1957267.01,1957267.01,-2.129999999999999
2021-11-27,19.25,20.16,19.22,19.49,837834.92,837834.92,0.23999999999999844
2021-11-28,19.49,20.26,18.47,20.12,1453479.11,1453479.11,0.6300000000000026
2021-11-29,20.12,20.48,19.6,20.26,1139685.58,1139685.58,0.14000000000000057
2021-11-30,20.26,21.48,19.55,21.25,1697883.41,1697883.41,0.9899999999999984
2021-12-01,21.25,22.3,20.77,20.95,1865023.7,1865023.7,-0.3000000000000007
2021-12-02,20.95,23.05,20.51,22.44,4262256.77,4262256.77,1.490000000000002
2021-12-03,22.41,23.03,19.26,19.96,2887521.15,2887521.15,-2.4499999999999993
2021-12-04,19.95,20.03,13.18,17.19,7587852.11,7587852.11,-2.759999999999998
2021-12-05,17.18,17.48,15.88,16.53,2258446.65,2258446.65,-0.6499999999999986
2021-12-06,16.54,17.5,15.17,17.3,2275551.62,2275551.62,0.7600000000000016
2021-12-07,17.3,17.66,16.92,17.14,1715523.25,1715523.25,-0.16000000000000014
