,Opening Price (USD),Highest Price (USD),Lowest Price (USD),Closing Price (USD),5. volume,6. market cap (USD)
2022-11-23,70.65,83.66,69.61,79.02,3062621.77,3062621.77
2022-11-24,79.01,79.52,75.11,78.66,1698054.06,1698054.06
2022-11-25,78.68,79.90,73.13,74.10,1546973.41,1546973.41
2022-11-26,74.10,79.65,73.89,76.47,1274051.02,1274051.02
2022-11-27,76.48,79.32,74.15,74.92,994997.59,994997.59
2022-11-28,74.92,75.34,70.53,73.97,1474228.83,1474228.83
2022-11-29,73.96,77.98,73.40,75.80,1214848.56,1214848.56
2022-11-30,75.81,80.88,75.42,79.16,1108600.29,1108600.29
2022-12-01,79.15,80.66,76.27,77.57,968244.36,968244.36
2022-12-02,77.57,78.09,75.34,77.94,582041.35,582041.35
2022-12-03,77.93,78.13,75.44,76.47,432581.63,432581.63
2022-12-04,76.44,77.51,75.79,77.07,390998.29,390998.29
2022-12-05,77.07,85.00,76.82,80.19,1698312.84,1698312.84
2022-12-06,80.19,81.77,77.67,79.88,802781.09,802781.09
2022-12-07,79.90,80.40,75.50,76.89,864677.81,864677.81
2022-12-08,76.90,78.75,74.50,78.27,911785.77,911785.77
2022-12-09,78.26,78.85,75.84,76.31,621921.17,621921.17
2022-12-10,76.31,77.46,75.64,76.36,301184.28,301184.28
2022-12-11,76.36,78.42,76.28,76.50,348230.25,348230.25
2022-12-12,76.51,76.71,73.49,76.23,656093.65,656093.65
2022-12-13,76.22,79.84,73.96,77.39,1018153.94,1018153.94
2022-12-14,77.40,79.11,74.20,75.30,911912.13,911912.13
2022-12-15,75.29,75.47,71.70,72.42,598856.97,598856.97
2022-12-16,72.43,73.56,65.00,66.25,1160661.94,1160661.94
2022-12-17,66.24,67.70,62.51,64.89,1344619.11,1344619.11
2022-12-18,64.89,65.96,63.03,64.37,639108.58,639108.58
2022-12-19,64.39,65.02,61.04,63.37,866072.92,866072.92
2022-12-20,63.36,66.35,63.08,65.55,850764.02,850764.02
2022-12-21,65.56,66.84,64.61,65.40,573283.43,573283.43
2022-12-22,65.40,66.70,64.24,66.21,505782.81,505782.81
2022-12-23,66.21,66.72,64.91,65.75,387146.61,387146.61
2022-12-24,65.75,66.05,65.06,65.76,218820.38,218820.38
2022-12-25,65.77,69.72,65.30,69.15,563485.62,563485.62
2022-12-26,69.15,71.83,68.58,70.78,724746.00,724746.00
2022-12-27,70.77,71.14,67.77,68.67,688534.20,688534.20
2022-12-28,68.68,69.48,65.69,66.32,693169.69,693169.69
2022-12-29,66.32,67.30,65.57,66.66,498307.66,498307.66
2022-12-30,66.66,68.72,66.04,67.94,476504.76,476504.76
2022-12-31,67.94,71.12,67.62,70.14,563994.50,563994.50
2023-01-01,70.14,71.55,68.91,70.91,497824.42,497824.42
2023-01-02,70.92,77.96,70.00,74.74,1056995.28,1056995.28
2023-01-03,74.75,76.52,73.62,75.57,725798.10,725798.10
2023-01-04,75.57,77.99,74.32,75.46,773197.79,773197.79
2023-01-05,75.46,76.27,73.53,74.25,562086.17,562086.17
2023-01-06,74.25,76.58,72.42,75.91,797819.97,797819.97
2023-01-07,75.91,76.87,75.47,76.40,388687.64,388687.64
2023-01-08,76.40,78.98,75.08,78.68,626879.18,626879.18
2023-01-09,78.67,83.61,78.09,81.62,1179300.92,1179300.92
2023-01-10,81.61,82.85,79.43,80.83,847925.34,847925.34
2023-01-11,80.82,85.00,79.88,84.08,968676.07,968676.07
2023-01-12,84.08,87.70,81.00,86.09,1427276.10,1427276.10
2023-01-13,86.09,87.99,83.59,86.23,891288.56,891288.56
2023-01-14,86.24,91.23,85.92,87.84,1747194.88,1747194.88
2023-01-15,87.84,88.68,85.21,87.37,586627.27,586627.27
2023-01-16,87.37,89.16,83.91,85.91,750074.11,750074.11
2023-01-17,85.94,89.39,84.52,87.02,740669.45,740669.45
2023-01-18,87.04,88.40,82.11,82.62,935842.00,935842.00
2023-01-19,82.62,84.57,81.67,84.21,484324.34,484324.34
2023-01-20,84.21,91.42,83.00,90.28,757424.45,757424.45
2023-01-21,90.28,92.10,87.57,87.91,720621.00,720621.00
2023-01-22,87.91,90.05,86.07,87.58,501770.04,501770.04
2023-01-23,87.58,93.20,87.51,89.90,691207.97,691207.97
2023-01-24,89.91,91.45,86.00,87.19,499687.34,499687.34
2023-01-25,87.19,91.93,85.53,89.38,529309.15,529309.15
2023-01-26,89.38,89.96,86.82,87.52,475990.33,475990.33
2023-01-27,87.51,89.23,85.81,88.89,418850.13,418850.13
2023-01-28,88.89,89.96,86.96,89.67,392046.68,392046.68
2023-01-29,89.66,97.77,89.65,94.84,1268331.01,1268331.01
2023-01-30,94.86,96.06,88.30,91.37,987138.23,987138.23
