,Opening Price (USD),Highest Price (USD),Lowest Price (USD),Closing Price (USD),5. volume,6. market cap (USD),Difference between opening and closing
2023-03-05,0.07,0.08,0.07,0.07,473247429.0,473247429.0,0.0
2023-03-06,0.07,0.08,0.07,0.07,601290505.0,601290505.0,0.0
2023-03-07,0.07,0.08,0.07,0.07,715751875.0,715751875.0,0.0
2023-03-08,0.07,0.07,0.07,0.07,710430111.0,710430111.0,0.0
2023-03-09,0.07,0.07,0.06,0.07,1514038685.0,1514038685.0,0.0
2023-03-10,0.07,0.07,0.06,0.07,1320901834.0,1320901834.0,0.0
2023-03-11,0.07,0.07,0.06,0.07,1096354085.0,1096354085.0,0.0
2023-03-12,0.07,0.07,0.07,0.07,950190978.0,950190978.0,0.0
2023-03-13,0.07,0.07,0.07,0.07,1285142360.0,1285142360.0,0.0
2023-03-14,0.07,0.08,0.07,0.07,1507610170.0,1507610170.0,0.0
2023-03-15,0.07,0.08,0.07,0.07,1326712138.0,1326712138.0,0.0
2023-03-16,0.07,0.07,0.07,0.07,842159396.0,842159396.0,0.0
2023-03-17,0.07,0.08,0.07,0.08,1234974838.0,1234974838.0,0.009999999999999995
2023-03-18,0.08,0.08,0.07,0.07,1383588746.0,1383588746.0,-0.009999999999999995
2023-03-19,0.07,0.08,0.07,0.07,818390779.0,818390779.0,0.0
2023-03-20,0.07,0.08,0.07,0.07,1079402871.0,1079402871.0,0.0
2023-03-21,0.07,0.08,0.07,0.08,1544655030.0,1544655030.0,0.009999999999999995
2023-03-22,0.08,0.08,0.07,0.07,1912919819.0,1912919819.0,-0.009999999999999995
2023-03-23,0.07,0.08,0.07,0.08,1770056622.0,1770056622.0,0.009999999999999995
2023-03-24,0.08,0.08,0.07,0.07,836571352.0,836571352.0,-0.009999999999999995
2023-03-25,0.07,0.08,0.07,0.07,658593695.0,658593695.0,0.0
2023-03-26,0.07,0.08,0.07,0.07,480451959.0,480451959.0,0.0
2023-03-27,0.07,0.08,0.07,0.07,1127427328.0,1127427328.0,0.0
2023-03-28,0.07,0.07,0.07,0.07,644358903.0,644358903.0,0.0
2023-03-29,0.07,0.08,0.07,0.08,1004337728.0,1004337728.0,0.009999999999999995
2023-03-30,0.08,0.08,0.07,0.07,827561063.0,827561063.0,-0.009999999999999995
2023-03-31,0.07,0.08,0.07,0.08,838503016.0,838503016.0,0.009999999999999995
2023-04-01,0.08,0.09,0.08,0.08,1854882421.0,1854882421.0,0.0
2023-04-02,0.08,0.09,0.08,0.08,2199172283.0,2199172283.0,0.0
2023-04-03,0.08,0.1,0.08,0.1,8818532284.0,8818532284.0,0.020000000000000004
2023-04-04,0.1,0.1,0.09,0.1,7327021779.0,7327021779.0,0.0
2023-04-05,0.1,0.1,0.09,0.09,3340986573.0,3340986573.0,-0.010000000000000009
2023-04-06,0.09,0.09,0.08,0.09,3278113280.0,3278113280.0,0.0
2023-04-07,0.09,0.09,0.08,0.08,2228211181.0,2228211181.0,-0.009999999999999995
2023-04-08,0.08,0.08,0.08,0.08,1218517909.0,1218517909.0,0.0
2023-04-09,0.08,0.08,0.08,0.08,922447755.0,922447755.0,0.0
2023-04-10,0.08,0.09,0.08,0.08,948759612.0,948759612.0,0.0
2023-04-11,0.08,0.09,0.08,0.08,1001623427.0,1001623427.0,0.0
2023-04-12,0.08,0.09,0.08,0.08,1733885327.0,1733885327.0,0.0
2023-04-13,0.08,0.09,0.08,0.09,1824584606.0,1824584606.0,0.009999999999999995
2023-04-14,0.09,0.09,0.09,0.09,2129880806.0,2129880806.0,0.0
2023-04-15,0.09,0.09,0.09,0.09,873116413.0,873116413.0,0.0
2023-04-16,0.09,0.09,0.09,0.09,1204599668.0,1204599668.0,0.0
2023-04-17,0.09,0.09,0.09,0.09,2941097287.0,2941097287.0,0.0
2023-04-18,0.09,0.1,0.09,0.09,1670819556.0,1670819556.0,0.0
2023-04-19,0.09,0.09,0.08,0.09,2757696460.0,2757696460.0,0.0
2023-04-20,0.09,0.09,0.08,0.08,4572088496.0,4572088496.0,-0.009999999999999995
2023-04-21,0.08,0.08,0.08,0.08,2208532603.0,2208532603.0,0.0
2023-04-22,0.08,0.08,0.08,0.08,807742799.0,807742799.0,0.0
2023-04-23,0.08,0.08,0.08,0.08,776127337.0,776127337.0,0.0
2023-04-24,0.08,0.08,0.08,0.08,835608693.0,835608693.0,0.0
2023-04-25,0.08,0.08,0.08,0.08,649768816.0,649768816.0,0.0
2023-04-26,0.08,0.08,0.07,0.08,1881668380.0,1881668380.0,0.0
2023-04-27,0.08,0.08,0.08,0.08,1030067337.0,1030067337.0,0.0
2023-04-28,0.08,0.08,0.08,0.08,490310858.0,490310858.0,0.0
2023-04-29,0.08,0.08,0.08,0.08,590694438.0,590694438.0,0.0
2023-04-30,0.08,0.08,0.08,0.08,585421236.0,585421236.0,0.0
2023-05-01,0.08,0.08,0.08,0.08,687515788.0,687515788.0,0.0
2023-05-02,0.08,0.08,0.08,0.08,429294264.0,429294264.0,0.0
2023-05-03,0.08,0.08,0.08,0.08,666847319.0,666847319.0,0.0
2023-05-04,0.08,0.08,0.08,0.08,521626133.0,521626133.0,0.0
2023-05-05,0.08,0.08,0.08,0.08,751560591.0,751560591.0,0.0
2023-05-06,0.08,0.08,0.08,0.08,866161917.0,866161917.0,0.0
2023-05-07,0.08,0.08,0.08,0.08,440286253.0,440286253.0,0.0
2023-05-08,0.08,0.08,0.07,0.07,1086840054.0,1086840054.0,-0.009999999999999995
2023-05-09,0.07,0.07,0.07,0.07,581336500.0,581336500.0,0.0
2023-05-10,0.07,0.07,0.07,0.07,830157442.0,830157442.0,0.0
2023-05-11,0.07,0.07,0.07,0.07,786571281.0,786571281.0,0.0
2023-05-12,0.07,0.07,0.07,0.07,977393789.0,977393789.0,0.0
2023-05-13,0.07,0.07,0.07,0.07,331390133.0,331390133.0,0.0
2023-05-14,0.07,0.07,0.07,0.07,239907331.0,239907331.0,0.0
2023-05-15,0.07,0.07,0.07,0.07,501437549.0,501437549.0,0.0
2023-05-16,0.07,0.07,0.07,0.07,356844405.0,356844405.0,0.0
2023-05-17,0.07,0.08,0.07,0.07,763341382.0,763341382.0,0.0
2023-05-18,0.07,0.07,0.07,0.07,792415671.0,792415671.0,0.0
2023-05-19,0.07,0.07,0.07,0.07,335992593.0,335992593.0,0.0
2023-05-20,0.07,0.07,0.07,0.07,203083357.0,203083357.0,0.0
2023-05-21,0.07,0.07,0.07,0.07,313624488.0,313624488.0,0.0
2023-05-22,0.07,0.07,0.07,0.07,461513189.0,461513189.0,0.0
2023-05-23,0.07,0.07,0.07,0.07,334965527.0,334965527.0,0.0
2023-05-24,0.07,0.07,0.07,0.07,630159786.0,630159786.0,0.0
2023-05-25,0.07,0.07,0.07,0.07,486062691.0,486062691.0,0.0
2023-05-26,0.07,0.07,0.07,0.07,408192832.0,408192832.0,0.0
2023-05-27,0.07,0.07,0.07,0.07,369096577.0,369096577.0,0.0
2023-05-28,0.07,0.07,0.07,0.07,434942386.0,434942386.0,0.0
2023-05-29,0.07,0.07,0.07,0.07,310287767.0,310287767.0,0.0
2023-05-30,0.07,0.07,0.07,0.07,465392836.0,465392836.0,0.0
2023-05-31,0.07,0.07,0.07,0.07,377200792.0,377200792.0,0.0
2023-06-01,0.07,0.07,0.07,0.07,337422502.0,337422502.0,0.0
2023-06-02,0.07,0.07,0.07,0.07,386392712.0,386392712.0,0.0
2023-06-03,0.07,0.07,0.07,0.07,213922814.0,213922814.0,0.0
2023-06-04,0.07,0.07,0.07,0.07,273284700.0,273284700.0,0.0
2023-06-05,0.07,0.07,0.06,0.07,1393290604.0,1393290604.0,0.0
2023-06-06,0.07,0.07,0.07,0.07,1170265603.0,1170265603.0,0.0
2023-06-07,0.07,0.07,0.07,0.07,687833819.0,687833819.0,0.0
2023-06-08,0.07,0.07,0.07,0.07,366934419.0,366934419.0,0.0
2023-06-09,0.07,0.07,0.07,0.07,664528733.0,664528733.0,0.0
2023-06-10,0.07,0.07,0.05,0.06,2781711103.0,2781711103.0,-0.010000000000000009
2023-06-11,0.06,0.06,0.06,0.06,580462318.0,580462318.0,0.0
2023-06-12,0.06,0.06,0.06,0.06,485251023.0,485251023.0,0.0
2023-06-13,0.06,0.06,0.06,0.06,469560125.0,469560125.0,0.0
2023-06-14,0.06,0.06,0.06,0.06,642700404.0,642700404.0,0.0
2023-06-15,0.06,0.06,0.06,0.06,534409612.0,534409612.0,0.0
2023-06-16,0.06,0.06,0.06,0.06,501181424.0,501181424.0,0.0
2023-06-17,0.06,0.06,0.06,0.06,358515676.0,358515676.0,0.0
2023-06-18,0.06,0.06,0.06,0.06,616148520.0,616148520.0,0.0
2023-06-19,0.06,0.06,0.06,0.06,313699473.0,313699473.0,0.0
2023-06-20,0.06,0.06,0.06,0.06,438420606.0,438420606.0,0.0
2023-06-21,0.06,0.07,0.06,0.07,948481988.0,948481988.0,0.010000000000000009
2023-06-22,0.07,0.07,0.07,0.07,998222870.0,998222870.0,0.0
2023-06-23,0.07,0.07,0.07,0.07,780327080.0,780327080.0,0.0
2023-06-24,0.07,0.07,0.07,0.07,638939181.0,638939181.0,0.0
2023-06-25,0.07,0.07,0.07,0.07,378779847.0,378779847.0,0.0
2023-06-26,0.07,0.07,0.06,0.06,710375009.0,710375009.0,-0.010000000000000009
2023-06-27,0.06,0.07,0.06,0.07,477097877.0,477097877.0,0.010000000000000009
2023-06-28,0.07,0.07,0.06,0.06,700025590.0,700025590.0,-0.010000000000000009
2023-06-29,0.06,0.06,0.06,0.06,450376389.0,450376389.0,0.0
2023-06-30,0.06,0.07,0.06,0.07,1114226909.0,1114226909.0,0.010000000000000009
2023-07-01,0.07,0.07,0.07,0.07,1480878387.0,1480878387.0,0.0
2023-07-02,0.07,0.07,0.07,0.07,945225786.0,945225786.0,0.0
2023-07-03,0.07,0.07,0.07,0.07,566630919.0,566630919.0,0.0
2023-07-04,0.07,0.07,0.07,0.07,1051878193.0,1051878193.0,0.0
2023-07-05,0.07,0.07,0.07,0.07,592363243.0,592363243.0,0.0
2023-07-06,0.07,0.07,0.06,0.06,620315296.0,620315296.0,-0.010000000000000009
2023-07-07,0.06,0.07,0.06,0.07,410024265.0,410024265.0,0.010000000000000009
2023-07-08,0.07,0.07,0.06,0.07,278674788.0,278674788.0,0.0
2023-07-09,0.07,0.07,0.07,0.07,279080489.0,279080489.0,0.0
2023-07-10,0.07,0.07,0.06,0.07,616363367.0,616363367.0,0.0
2023-07-11,0.07,0.07,0.06,0.07,313014382.0,313014382.0,0.0
2023-07-12,0.07,0.07,0.06,0.07,312404127.0,312404127.0,0.0
2023-07-13,0.07,0.07,0.06,0.07,1572353798.0,1572353798.0,0.0
2023-07-14,0.07,0.07,0.07,0.07,1501930500.0,1501930500.0,0.0
2023-07-15,0.07,0.08,0.07,0.07,2333412778.0,2333412778.0,0.0
2023-07-16,0.07,0.07,0.07,0.07,930666895.0,930666895.0,0.0
2023-07-17,0.07,0.07,0.07,0.07,1103083153.0,1103083153.0,0.0
2023-07-18,0.07,0.07,0.07,0.07,588900425.0,588900425.0,0.0
2023-07-19,0.07,0.07,0.07,0.07,941079033.0,941079033.0,0.0
2023-07-20,0.07,0.07,0.07,0.07,1394548088.0,1394548088.0,0.0
2023-07-21,0.07,0.08,0.07,0.07,1714323052.0,1714323052.0,0.0
2023-07-22,0.07,0.07,0.07,0.07,817196460.0,817196460.0,0.0
2023-07-23,0.07,0.07,0.07,0.07,636160266.0,636160266.0,0.0
2023-07-24,0.07,0.08,0.07,0.07,3734795178.0,3734795178.0,0.0
2023-07-25,0.07,0.08,0.07,0.08,3974103246.0,3974103246.0,0.009999999999999995
2023-07-26,0.08,0.08,0.08,0.08,2421416701.0,2421416701.0,0.0
2023-07-27,0.08,0.08,0.08,0.08,1390657420.0,1390657420.0,0.0
2023-07-28,0.08,0.08,0.08,0.08,845464658.0,845464658.0,0.0
2023-07-29,0.08,0.08,0.08,0.08,1189212485.0,1189212485.0,0.0
2023-07-30,0.08,0.08,0.08,0.08,1058535152.0,1058535152.0,0.0
2023-07-31,0.08,0.08,0.08,0.08,845233630.0,845233630.0,0.0
2023-08-01,0.08,0.08,0.08,0.08,873111968.0,873111968.0,0.0
2023-08-02,0.08,0.08,0.07,0.07,804142710.0,804142710.0,-0.009999999999999995
2023-08-03,0.07,0.08,0.07,0.07,693788058.0,693788058.0,0.0
2023-08-04,0.07,0.07,0.07,0.07,610889682.0,610889682.0,0.0
2023-08-05,0.07,0.08,0.07,0.08,1062980193.0,1062980193.0,0.009999999999999995
2023-08-06,0.08,0.08,0.07,0.07,667225173.0,667225173.0,-0.009999999999999995
2023-08-07,0.07,0.08,0.07,0.07,686024165.0,686024165.0,0.0
2023-08-08,0.07,0.08,0.07,0.07,573574471.0,573574471.0,0.0
2023-08-09,0.07,0.08,0.07,0.08,494836584.0,494836584.0,0.009999999999999995
2023-08-10,0.08,0.08,0.08,0.08,614532410.0,614532410.0,0.0
2023-08-11,0.08,0.08,0.07,0.08,303787779.0,303787779.0,0.0
2023-08-12,0.08,0.08,0.08,0.08,588060644.0,588060644.0,0.0
2023-08-13,0.08,0.08,0.07,0.07,468528019.0,468528019.0,-0.009999999999999995
2023-08-14,0.07,0.08,0.07,0.07,779632649.0,779632649.0,0.0
2023-08-15,0.07,0.07,0.07,0.07,1006789294.0,1006789294.0,0.0
2023-08-16,0.07,0.07,0.07,0.07,1176873403.0,1176873403.0,0.0
2023-08-17,0.07,0.07,0.06,0.06,1947998543.0,1947998543.0,-0.010000000000000009
2023-08-18,0.06,0.06,0.06,0.06,1284697455.0,1284697455.0,0.0
2023-08-19,0.06,0.06,0.06,0.06,427274791.0,427274791.0,0.0
2023-08-20,0.06,0.06,0.06,0.06,302086371.0,302086371.0,0.0
2023-08-21,0.06,0.06,0.06,0.06,577388884.0,577388884.0,0.0
2023-08-22,0.06,0.06,0.06,0.06,615086529.0,615086529.0,0.0
2023-08-23,0.06,0.07,0.06,0.06,663722826.0,663722826.0,0.0
2023-08-24,0.06,0.06,0.06,0.06,386270949.0,386270949.0,0.0
2023-08-25,0.06,0.06,0.06,0.06,388436589.0,388436589.0,0.0
2023-08-26,0.06,0.06,0.06,0.06,133469006.0,133469006.0,0.0
2023-08-27,0.06,0.06,0.06,0.06,195920692.0,195920692.0,0.0
2023-08-28,0.06,0.06,0.06,0.06,347134881.0,347134881.0,0.0
2023-08-29,0.06,0.07,0.06,0.07,1205214048.0,1205214048.0,0.010000000000000009
2023-08-30,0.07,0.07,0.06,0.07,652816294.0,652816294.0,0.0
2023-08-31,0.07,0.07,0.06,0.06,987255423.0,987255423.0,-0.010000000000000009
2023-09-01,0.06,0.06,0.06,0.06,594834321.0,594834321.0,0.0
2023-09-02,0.06,0.06,0.06,0.06,445474474.0,445474474.0,0.0
2023-09-03,0.06,0.06,0.06,0.06,221836401.0,221836401.0,0.0
2023-09-04,0.06,0.06,0.06,0.06,414229595.0,414229595.0,0.0
2023-09-05,0.06,0.06,0.06,0.06,613206067.0,613206067.0,0.0
2023-09-06,0.06,0.06,0.06,0.06,638467834.0,638467834.0,0.0
2023-09-07,0.06,0.06,0.06,0.06,418433542.0,418433542.0,0.0
2023-09-08,0.06,0.06,0.06,0.06,364461321.0,364461321.0,0.0
2023-09-09,0.06,0.06,0.06,0.06,196653596.0,196653596.0,0.0
2023-09-10,0.06,0.06,0.06,0.06,741903006.0,741903006.0,0.0
2023-09-11,0.06,0.06,0.06,0.06,815364934.0,815364934.0,0.0
2023-09-12,0.06,0.06,0.06,0.06,590184825.0,590184825.0,0.0
2023-09-13,0.06,0.06,0.06,0.06,502274759.0,502274759.0,0.0
2023-09-14,0.06,0.06,0.06,0.06,475512544.0,475512544.0,0.0
2023-09-15,0.06,0.06,0.06,0.06,305546937.0,305546937.0,0.0
