,Opening Price (USD),Highest Price (USD),Lowest Price (USD),Closing Price (USD),5. volume,6. market cap (USD)
2022-10-09,0.06,0.06,0.06,0.06,226968934.00,226968934.00
2022-10-10,0.06,0.06,0.06,0.06,386782574.00,386782574.00
2022-10-11,0.06,0.06,0.06,0.06,478062235.00,478062235.00
2022-10-12,0.06,0.06,0.06,0.06,252208137.00,252208137.00
2022-10-13,0.06,0.06,0.06,0.06,761866013.00,761866013.00
2022-10-14,0.06,0.06,0.06,0.06,327532810.00,327532810.00
2022-10-15,0.06,0.06,0.06,0.06,249335168.00,249335168.00
2022-10-16,0.06,0.06,0.06,0.06,160481253.00,160481253.00
2022-10-17,0.06,0.06,0.06,0.06,194737870.00,194737870.00
2022-10-18,0.06,0.06,0.06,0.06,351446283.00,351446283.00
2022-10-19,0.06,0.06,0.06,0.06,458718503.00,458718503.00
2022-10-20,0.06,0.06,0.06,0.06,340532633.00,340532633.00
2022-10-21,0.06,0.06,0.06,0.06,287377970.00,287377970.00
2022-10-22,0.06,0.06,0.06,0.06,198858373.00,198858373.00
2022-10-23,0.06,0.06,0.06,0.06,249563654.00,249563654.00
2022-10-24,0.06,0.06,0.06,0.06,344276898.00,344276898.00
2022-10-25,0.06,0.06,0.06,0.06,1024580884.00,1024580884.00
2022-10-26,0.06,0.07,0.06,0.07,2893785380.00,2893785380.00
2022-10-27,0.07,0.09,0.07,0.08,5263995288.00,5263995288.00
2022-10-28,0.08,0.09,0.07,0.08,6297011393.00,6297011393.00
2022-10-29,0.08,0.15,0.08,0.12,15308814618.00,15308814618.00
2022-10-30,0.12,0.14,0.11,0.12,9155956957.00,9155956957.00
2022-10-31,0.12,0.13,0.11,0.13,7416828751.00,7416828751.00
2022-11-01,0.13,0.16,0.12,0.14,9951558350.00,9951558350.00
2022-11-02,0.14,0.15,0.12,0.13,6438544218.00,6438544218.00
2022-11-03,0.13,0.14,0.12,0.12,3814668576.00,3814668576.00
2022-11-04,0.12,0.13,0.12,0.13,4491405373.00,4491405373.00
2022-11-05,0.13,0.14,0.12,0.12,2575911841.00,2575911841.00
2022-11-06,0.12,0.13,0.11,0.11,1828089235.00,1828089235.00
2022-11-07,0.11,0.12,0.11,0.11,1960584662.00,1960584662.00
2022-11-08,0.11,0.11,0.08,0.09,6869827495.00,6869827495.00
2022-11-09,0.09,0.09,0.07,0.07,5778334733.00,5778334733.00
2022-11-10,0.07,0.09,0.07,0.09,4922943119.00,4922943119.00
2022-11-11,0.09,0.09,0.08,0.09,2597129664.00,2597129664.00
2022-11-12,0.09,0.10,0.08,0.09,3871215593.00,3871215593.00
2022-11-13,0.09,0.09,0.08,0.08,2193482956.00,2193482956.00
2022-11-14,0.08,0.09,0.08,0.09,2525683803.00,2525683803.00
2022-11-15,0.09,0.09,0.08,0.09,1318756115.00,1318756115.00
2022-11-16,0.09,0.09,0.08,0.09,1621532204.00,1621532204.00
2022-11-17,0.09,0.09,0.08,0.08,1133495442.00,1133495442.00
2022-11-18,0.08,0.09,0.08,0.08,818587592.00,818587592.00
2022-11-19,0.08,0.09,0.08,0.08,489697622.00,489697622.00
2022-11-20,0.08,0.09,0.08,0.08,1168377788.00,1168377788.00
2022-11-21,0.08,0.08,0.07,0.07,1869844515.00,1869844515.00
2022-11-22,0.07,0.08,0.07,0.08,1448103545.00,1448103545.00
2022-11-23,0.08,0.08,0.08,0.08,1258795497.00,1258795497.00
2022-11-24,0.08,0.08,0.08,0.08,739233520.00,739233520.00
2022-11-25,0.08,0.09,0.08,0.09,2497331251.00,2497331251.00
2022-11-26,0.09,0.10,0.09,0.09,1914481802.00,1914481802.00
2022-11-27,0.09,0.11,0.09,0.10,4273685671.00,4273685671.00
2022-11-28,0.10,0.10,0.09,0.10,3340654160.00,3340654160.00
2022-11-29,0.10,0.11,0.09,0.10,2909789625.00,2909789625.00
2022-11-30,0.10,0.11,0.10,0.11,2791151929.00,2791151929.00
2022-12-01,0.11,0.11,0.10,0.10,1927610473.00,1927610473.00
2022-12-02,0.10,0.10,0.10,0.10,1560905751.00,1560905751.00
2022-12-03,0.10,0.10,0.10,0.10,1356635083.00,1356635083.00
2022-12-04,0.10,0.11,0.10,0.10,1609965913.00,1609965913.00
2022-12-05,0.10,0.11,0.10,0.10,2106903673.00,2106903673.00
2022-12-06,0.10,0.10,0.10,0.10,1145270821.00,1145270821.00
2022-12-07,0.10,0.10,0.09,0.10,1404880230.00,1404880230.00
2022-12-08,0.10,0.10,0.09,0.10,1031574520.00,1031574520.00
2022-12-09,0.10,0.10,0.10,0.10,956187442.00,956187442.00
2022-12-10,0.10,0.10,0.10,0.10,429034730.00,429034730.00
2022-12-11,0.10,0.10,0.09,0.09,627479341.00,627479341.00
2022-12-12,0.09,0.09,0.08,0.09,1940139927.00,1940139927.00
2022-12-13,0.09,0.10,0.09,0.09,1698390609.00,1698390609.00
2022-12-14,0.09,0.09,0.09,0.09,1247687146.00,1247687146.00
2022-12-15,0.09,0.09,0.08,0.08,899180340.00,899180340.00
2022-12-16,0.08,0.09,0.07,0.08,1755203327.00,1755203327.00
2022-12-17,0.08,0.08,0.08,0.08,1337164978.00,1337164978.00
2022-12-18,0.08,0.08,0.08,0.08,630900319.00,630900319.00
2022-12-19,0.08,0.08,0.07,0.07,1529698798.00,1529698798.00
2022-12-20,0.07,0.08,0.07,0.07,1127168971.00,1127168971.00
2022-12-21,0.07,0.08,0.07,0.07,912809062.00,912809062.00
2022-12-22,0.07,0.08,0.07,0.08,1485392938.00,1485392938.00
2022-12-23,0.08,0.08,0.08,0.08,1022963248.00,1022963248.00
2022-12-24,0.08,0.08,0.08,0.08,360306517.00,360306517.00
2022-12-25,0.08,0.08,0.07,0.08,1157436298.00,1157436298.00
2022-12-26,0.08,0.08,0.07,0.08,648289873.00,648289873.00
2022-12-27,0.08,0.08,0.07,0.07,706850540.00,706850540.00
2022-12-28,0.07,0.07,0.07,0.07,1500166937.00,1500166937.00
2022-12-29,0.07,0.07,0.07,0.07,772145313.00,772145313.00
